class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,rule,15.625,0.0003805239895139752,0.000537197134156181,0.000718209310543748,150,500-2000
OR,rule,19.53125,0.0003065393615451549,0.0004928953351183612,0.000706272323113558,150,500-2000
OR,rule,23.4375,0.00020560997585171702,0.0004089064126180566,0.0007193584006658464,150,500-2000
OR,rule,27.34375,0.00030264423550432483,0.00048738019797465906,0.0006798003529678657,150,500-2000
OR,rule,31.25,0.00032606153976944203,0.0005268460719905273,0.0007474654482923423,150,500-2000
OR,rule,35.15625,0.00034494165911694004,0.0005086538282585447,0.0006930684299064489,150,500-2000
OR,rule,39.0625,0.00037263726589165525,0.0005383172962033288,0.0007980216754896459,150,500-2000
OR,rule,42.96875,0.002622217306952268,0.00296461069960538,0.0034414633936983934,150,500-2000
OR,rule,46.875,0.003949228406146187,0.004317313201998821,0.004773338528614389,150,500-2000
OR,rule,50.78125,0.0012225973090958361,0.001527314021341052,0.0019514220106425562,150,500-2000
OR,rule,54.6875,0.00039860066030554964,0.0005817313204860313,0.0007781709824069228,150,500-2000
OR,rule,58.59375,0.0002917004675719512,0.0004285894164532506,0.0007164684122514274,150,500-2000
OR,rule,62.5,0.00032732125303341247,0.0005203243138367206,0.0007019168669643851,150,500-2000
OR,rule,66.40625,0.00028283942231176223,0.0004537504234537675,0.0006387865151861434,150,500-2000
OR,rule,70.3125,0.0002571639196648769,0.0004211012684971003,0.0006603744313220678,150,500-2000
OR,rule,74.21875,0.00026822454268743954,0.00045364485228965715,0.000610497059948848,150,500-2000
OR,rule,78.125,0.0003220817015866391,0.0004995715792192323,0.0006859546708147034,150,500-2000
OR,rule,82.03125,0.0003217735830965552,0.0004987091289198308,0.0007010739513442399,150,500-2000
OR,rule,85.9375,0.00048788317159776057,0.0007794328425454523,0.001119895777646009,150,500-2000
OR,rule,89.84375,0.002687424156543187,0.0031397175451066688,0.00368208999993219,150,500-2000
OR,rule,93.75,0.0030124188616591357,0.003388010022726624,0.0038031516856084522,150,500-2000
OR,rule,97.65625,0.0005747905361043796,0.0008997236923642289,0.0012994433089602905,150,500-2000
OR,rule,101.5625,0.00038677693676491046,0.0005467879402506089,0.0007687174308817895,150,500-2000
OR,rule,105.46875,0.0002596787023469933,0.0004470466413133181,0.0006545228871158418,150,500-2000
OR,rule,109.375,0.00028774543428734594,0.0004743013245269836,0.0006763258342744882,150,500-2000
OR,rule,113.28125,0.0002505117248401478,0.00042000510203952417,0.0006062031743785223,150,500-2000
OR,rule,117.1875,0.00027089911475821065,0.0004182349181720567,0.0005977581451187789,150,500-2000
OR,rule,121.09375,0.00024336307201046383,0.00039498979647261675,0.0005900897022587436,150,500-2000
OR,rule,125.0,0.0003303596675493223,0.0004802203523633485,0.0006483216910065426,150,500-2000
OR,rule,128.90625,0.0003270661240424553,0.0005087208966566422,0.0007276187644279047,150,500-2000
OR,rule,132.8125,0.0006157166582092433,0.0010251174629250482,0.0015061121324722736,150,500-2000
OR,rule,136.71875,0.002559297540982928,0.002950091865834487,0.00334140553688927,150,500-2000
OR,rule,140.625,0.0019914896733002597,0.0024364788347950037,0.0028393751321060287,150,500-2000
OR,rule,144.53125,0.00042979689565279567,0.0006352811449230701,0.0010416909131247087,150,500-2000
OR,rule,148.4375,0.0003162736515733645,0.0005194816759517252,0.0007262680534738682,150,500-2000
OR,rule,152.34375,0.00024249169968724874,0.0004357543000786548,0.0006203660680194049,150,500-2000
OR,rule,156.25,0.00026721400754235313,0.0004508940483420984,0.0006401273444608681,150,500-2000
OR,rule,160.15625,0.00024599546989988717,0.00036793728039585566,0.0005672932421138226,150,500-2000
OR,rule,164.0625,0.00023046701278767504,0.00038821313328836634,0.0005331353340018863,150,500-2000
OR,rule,167.96875,0.000240668383043502,0.0003865268203337108,0.000601268219587625,150,500-2000
OR,rule,171.875,0.00033437259152086873,0.00045887723663935585,0.000638395271329203,150,500-2000
OR,rule,175.78125,0.00034650904687906416,0.0005304027413814906,0.000769546253979297,150,500-2000
OR,rule,179.6875,0.0007099655394537257,0.0012185149386525797,0.0018558900852024118,150,500-2000
OR,rule,183.59375,0.0021795325554651523,0.002450925281849547,0.002730836807768429,150,500-2000
OR,rule,187.5,0.001157589647784099,0.0016573953821796094,0.002085419775384914,150,500-2000
OR,rule,191.40625,0.0003541567007770769,0.0006094657416709886,0.0008751226235821032,150,500-2000
OR,rule,195.3125,0.00031625209163719,0.0004641652352973607,0.0006444239049553947,150,500-2000
OR,rule,199.21875,0.00024277289327277588,0.00043085700986060266,0.0006146999504160682,150,500-2000
OR,rule,203.125,0.0002673295782992989,0.00041445953158730873,0.0005802649222473279,150,500-2000
OR,rule,207.03125,0.0002454250271792246,0.00035535521606062546,0.0005511089523615111,150,500-2000
OR,rule,210.9375,0.00021607024585595025,0.0003506531086052651,0.0005145175677976057,150,500-2000
OR,rule,214.84375,0.000259356143942237,0.0004130374708480833,0.0005987170241209987,150,500-2000
OR,rule,218.75,0.0003220522786378901,0.00044797312129657776,0.0006488373322492934,150,500-2000
OR,random_open_loop,0.0,2.8251951479790496e-05,0.00011744265942793567,0.00033665226205777034,150,500-2000
OR,random_open_loop,3.90625,8.509969269870126e-05,0.00020016762568852338,0.0005489984254823868,150,500-2000
